state,Vivienda,Ingresos,Empleos,Comunidad,Educación,Entorno,Compromiso civil,Salud,Satisfacción de vida,Seguridad,Equilibrio trabajo-vida
Aguascalientes,1178123,3104651,6.6,66,96.2,22.3,656758,11,,428847,
Baja California,3089136,10732215,4.86,93,96.3,2.5,2522667,9,,701482,
Baja California Sur,621975,2934502,4.76,57,96.07,5.9,12980497,25,,136277,
Campeche,814170,3729922,2.72,119,90.94,70.5,2513865,29,,117524,
Coahuila,2705129,6338782,6.33,496,96.63,5.5,1,15,,542696,
Colima,639350,2141347,3.22,57,94.31,50.5,5797439,29,,78899,
Chiapas,4731400,9775023,2.33,401,81.59,51.9,17381974,36,,442071,
Chihuahua,3293182,8574301,5.35,159,95.4,29.9,4710027,16,,1001013,
Ciudad de México,8595130,1,4.8,1538,97.02,28.1,12582750,6,,2914914,
Durango,1600533,4246362,6.09,163,95.57,47.1,1077708,31,,251833,
Guanajuato,5446540,13117135,5.47,165,91.29,23.4,4459648,13,,835367,
Guerrero,3364920,10055910,3.83,362,82.47,67.9,32312251,34,,683102,
Hidalgo,2640428,5424612,6.02,284,89.12,29.9,8439491,40,,392274,
Jalisco,7233506,22261171,4.01,181,95.06,55.4,505722,15,,1642074,
Estado de México,14960298,40641193,5.07,653,94.98,32.9,18841627,9,,3478155,
Michoacán,4290069,11222430,4.5,218,89.14,59.6,6269909,25,,441190,
Morelos,1745173,5977127,4.82,151,92.91,34.6,1077256,17,,343590,
Nayarit,1070746,116702,3.62,83,93.1,62.7,581998,40,,235269,
Nuevo León,4583360,16483555,4.34,690,96.06,10.8,3733020,14,,1253354,
Oaxaca,3772892,5910885,3.34,470,83.08,65.3,1,40,,607876,
Puebla,5712214,7965938,3.7,613,89.06,89.06,6392439,20,,874248,
Querétaro,1810445,6858526,5.44,63,93.16,35.6,920147,16,,237141,
Quintana Roo,1303116,7134030,3.22,56,93.42,83.4,1355874,18,,382351,
San Luis Potosí,2557437,7140540,5.47,223,91.44,15.1,1695091,23,,520158,
Sinaloa,2748115,7961347,3.93,154,94.37,51.5,346515,18,,660023,
Sonora,2620624,8047951,5.56,139,96.25,29.6,3600338,16,,849604,
Tabasco,2209086,8268862,4.8,740,92.33,8.3,16112,32,,456336,
Tamaulipas,3158477,9942581,4.82,50,94.56,18.8,5530888,17,,612702,
Tlaxcala,1163558,1902630,4.93,139,94.21,15.8,562306,18,,196073,
Veracruz,7536546,17594610,3.65,793,87.98,16.7,4855011,22,,1021642,
Yucatán,1938698,4522093,2.58,272,90,71.7,987826,16,,503276,
Zacatecas,1475699,4922890,5.26,255,93.89,19.4,2047140,32,,286411,